Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
339,Anthony Miller,2TM,27,,3,1,12,6,25,1,3,15,2.5,10,1.7,6.3,0,,0,0,2,44.4
340,Rashaad Penny,SEA,25,RB,10,6,8,6,48,0,3,-14,-2.3,62,10.3,-2,1,6,1,12.5,0,89.6
341,Curtis Samuel,WAS,25,WR,5,1,9,6,27,0,4,-13,-2.2,40,6.7,2.3,0,,0,0,1,30.6
342,Shi Smith,CAR,23,,6,0,11,6,104,0,3,33,5.5,71,11.8,6.7,0,,0,0,1,49.1
343,Kenny Stills,NOR,29,WR,13,4,23,6,68,1,4,58,9.7,10,1.7,18.4,0,,1,4.3,1,36
344,Preston Williams,MIA,24,WR,8,3,16,6,71,0,3,33,5.5,38,6.3,8.2,2,3,3,18.8,0,51.8
345,Antony Auclair,HOU,28,TE,16,13,5,5,47,1,2,22,4.4,25,5,4.4,1,5,0,0,0,145.4
346,Le'Veon Bell,2TM,29,,8,0,7,5,30,1,3,4,0.8,26,5.2,0.7,1,5,1,14.3,0,119
347,Dez Fitzpatrick,TEN,24,,4,0,8,5,49,1,4,46,9.2,3,0.6,13.6,0,,0,0,2,79.7
348,Joe Fortson,KAN,26,,6,0,5,5,47,2,3,38,7.6,9,1.8,7.6,0,,0,0,0,145.4
349,Josh Gordon,KAN,30,WR,12,7,14,5,32,1,3,27,5.4,5,1,10.9,0,,2,14.3,2,28.6
350,KJ Hamler,DEN,22,WR,3,2,10,5,74,0,4,58,11.6,16,3.2,20.1,0,,1,10,0,74.6
351,Parker Hesse,ATL,26,TE,8,1,6,5,43,0,3,22,4.4,21,4.2,3.7,0,,0,0,0,96.5
352,Tony Jones,NOR,24,RB,11,4,8,5,29,0,2,1,0.2,28,5.6,0.1,0,,0,0,0,69.3
353,Joshua Kelley,LAC,24,,10,0,6,5,38,0,1,7,1.4,31,6.2,2.2,1,5,0,0,0,93.1
354,Scott Miller,TAM,24,,9,0,9,5,38,0,2,29,5.8,9,1.8,13,0,,0,0,2,26.4
355,Colby Parkinson,SEA,22,TE,14,1,8,5,33,0,2,13,2.6,20,4,5.9,0,,0,0,0,71.4
356,Rodney Smith,CAR,25,,2,0,5,5,48,0,2,16,3.2,32,6.4,3.2,1,5,0,0,0,106.7
357,Ihmir Smith-Marsette,MIN,22,WR,8,1,6,5,116,2,4,99,19.8,17,3.4,21.3,0,,0,0,0,158.3
358,Mike Thomas,CIN,27,WR,12,1,11,5,52,0,3,39,7.8,13,2.6,9.9,0,,0,0,0,59.7
359,Cody White,PIT,23,,15,0,6,5,33,0,3,19,3.8,14,2.8,6.3,0,,1,16.7,0,89.6
360,Charlie Woerner,SFO,24,TE,17,3,6,5,52,0,3,43,8.6,9,1.8,8.7,0,,0,0,0,102.8
