Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
46,A.J. Brown,TEN,24,WR,13,13,105,63,869,5,45,621,9.9,248,3.9,11.6,2,31.5,8,7.6,2,94.5
47,Laviska Shenault Jr.,JAX,23,WR,16,10,100,63,619,0,30,230,3.7,389,6.2,5.5,10,6.3,8,8,2,72
49,Tyler Conklin,MIN,26,TE,17,15,87,61,593,3,26,266,4.4,327,5.4,5.3,0,,3,3.4,0,100.4
50,Tyler Higbee,LAR,28,TE,15,15,85,61,560,5,33,279,4.6,281,4.6,5.3,1,61,3,3.5,3,94.2
51,T.J. Hockenson,DET,24,TE,12,12,84,61,583,4,32,384,6.3,199,3.3,7.4,4,15.3,1,1.2,3,92.5
52,Pat Freiermuth,PIT,23,TE,16,9,79,60,497,7,34,250,4.2,247,4.1,5.3,8,7.5,2,2.5,0,121.1
53,Cole Kmet,CHI,22,TE,17,17,93,60,612,0,29,366,6.1,246,4.1,7.8,4,15,5,5.4,2,74.3
54,Chase Claypool,PIT,23,WR,15,13,105,59,860,2,35,577,9.8,283,4.8,11.4,4,14.8,5,4.8,3,77.5
55,Mecole Hardman,KAN,23,WR,17,8,83,59,693,2,33,191,3.2,502,8.5,7.4,7,8.4,2,2.4,1,99.1
56,Courtland Sutton,DEN,26,WR,17,16,98,58,776,2,35,641,11.1,135,2.3,15.4,1,58,3,3.1,3,78.4
57,Brandon Aiyuk,SFO,23,WR,17,16,84,56,826,5,37,479,8.6,347,6.2,9.8,3,18.7,4,4.8,0,118.5
58,Dallas Goedert,PHI,26,TE,15,14,76,56,830,4,42,444,7.9,386,6.9,8.5,9,6.2,5,6.6,1,121.1
59,Kendrick Bourne,NWE,26,WR,17,5,70,55,800,5,27,415,7.5,385,7,8.5,5,11,2,2.9,1,132.1
60,Rob Gronkowski,TAM,32,TE,12,12,89,55,802,6,34,452,8.2,350,6.4,10.1,9,6.1,5,5.6,0,113.6
61,Darren Waller,LVR,29,TE,11,11,93,55,665,2,31,423,7.7,242,4.4,9.8,3,18.3,5,5.4,2,79.4
62,A.J. Green,ARI,33,WR,16,9,92,54,848,3,37,667,12.4,181,3.4,12.2,5,10.8,5,5.4,2,91.2
64,Rondale Moore,ARI,21,WR,14,7,64,54,435,1,18,-3,-0.1,438,8.1,1.4,2,27,1,1.6,2,87.2
65,Robby Anderson,CAR,28,WR,17,16,110,53,519,5,27,361,6.8,158,3,10.5,2,26.5,7,6.4,7,50.5
